Index,Name,Ranking,Overview,School Type,Year Founded,Religious Affiliation,Academic Calendar,Setting,2019 Endowment,School Website
43,Emory and Henry College,154,"Emory and Henry College is a private institution that was founded in 1836. It has a total undergraduate enrollment of 1,019, its setting is rural, and the campus size is 325 acres. It utilizes a semester-based academic calendar. Emory and Henry College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #154. Its tuition and fees are $35,100.","Private, Coed",1836.0,United Methodist,Semester,Rural,90700000.0,
44,Centenary College,155,"Centenary College is a private institution that was founded in 1825. It has a total undergraduate enrollment of 549, its setting is city, and the campus size is 65 acres. It utilizes a semester-based academic calendar. Centenary College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #155. Its tuition and fees are $38,060.","Private, Coed",1825.0,United Methodist,Semester,City,133100000.0,
45,Gordon College,155,"Gordon College is a private institution that was founded in 1889. It has a total undergraduate enrollment of 1,507, its setting is suburban, and the campus size is 485 acres. It utilizes a semester-based academic calendar. Gordon College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #155. Its tuition and fees are $39,230.","Private, Coed",1889.0,Other,Semester,Suburban,73900000.0,
46,Guilford College,155,"Guilford College is a private institution that was founded in 1837. It has a total undergraduate enrollment of 1,525, its setting is suburban, and the campus size is 340 acres. It utilizes a semester-based academic calendar. Guilford College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #155. Its tuition and fees are $40,120.","Private, Coed",1837.0,Friends,Semester,Suburban,,
47,Marlboro College,155,"Marlboro College is a private institution that was founded in 1946. It has a Rural setting, and the campus size is 366 acres. It utilizes a semester-based academic calendar. Marlboro College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #155. Its tuition and fees are $27,485.","Private, Coed",1946.0,None,Semester,Rural,,
48,Morehouse College,155,"Morehouse College is a private institution that was founded in 1867. It has a total undergraduate enrollment of 2,238, its setting is urban, and the campus size is 66 acres. It utilizes a semester-based academic calendar. Morehouse College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #155. Its tuition and fees are $28,847.","Private, Men's college",1867.0,None,Semester,Urban,,
49,Purchase College--SUNY,155,"Purchase College—SUNY is a public institution that was founded in 1967. It has a total undergraduate enrollment of 4,081, and the setting is Suburban. It utilizes a semester-based academic calendar. Purchase College—SUNY's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #155. Its in-state tuition and fees are $9,163; out-of-state tuition and fees are $19,073.","Public, Coed",1967.0,None,Semester,Suburban,77900000.0,
50,Beloit College,80,"Beloit College is a private institution that was founded in 1846. It has a total undergraduate enrollment of 1,143, its setting is city, and the campus size is 47 acres. It utilizes a semester-based academic calendar. Beloit College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #80. Its tuition and fees are $53,348.","Private, Coed",1846.0,None,Semester,City,136700000.0,
51,Illinois Wesleyan University,80,"Illinois Wesleyan University is a private institution that was founded in 1850. It has a total undergraduate enrollment of 1,629, its setting is suburban, and the campus size is 82 acres. It utilizes a 4-4-1-based academic calendar. Illinois Wesleyan University's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #80. Its tuition and fees are $51,336.","Private, Coed",1850.0,None,4-4-1,Suburban,213900000.0,
52,St. Mary's College of Maryland,80,"St. Mary's College of Maryland is a public institution that was founded in 1840. It has a total undergraduate enrollment of 1,491, its setting is rural, and the campus size is 361 acres. It utilizes a semester-based academic calendar. St. Mary's College of Maryland's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #80. Its in-state tuition and fees are $15,124; out-of-state tuition and fees are $31,200.","Public, Coed",1840.0,None,Semester,Rural,37100000.0,
53,Earlham College,84,"Earlham College is a private institution that was founded in 1847. It has a total undergraduate enrollment of 957, its setting is city, and the campus size is 200 acres. It utilizes a semester-based academic calendar. Earlham College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #84. Its tuition and fees are $48,091.","Private, Coed",1847.0,Friends,Semester,City,418800000.0,
54,Gustavus Adolphus College,84,"Gustavus Adolphus College is a private institution that was founded in 1862. It has a total undergraduate enrollment of 2,235, its setting is rural, and the campus size is 340 acres. It utilizes a 4-1-4-based academic calendar. Gustavus Adolphus College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #84. Its tuition and fees are $48,460.","Private, Coed",1862.0,Evangelical Lutheran Church,4-1-4,Rural,194400000.0,
55,Juniata College,84,"Juniata College is a private institution that was founded in 1876. It has a total undergraduate enrollment of 1,389, its setting is rural, and the campus size is 800 acres. It utilizes a semester-based academic calendar. Juniata College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #84. Its tuition and fees are $49,175.","Private, Coed",1876.0,None,Semester,Rural,117300000.0,
56,Lake Forest College,84,"Lake Forest College is a private institution that was founded in 1857. It has a total undergraduate enrollment of 1,538, its setting is suburban, and the campus size is 107 acres. It utilizes a semester-based academic calendar. Lake Forest College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #84. Its tuition and fees are $49,822.","Private, Coed",1857.0,None,Semester,Suburban,87500000.0,
57,New College of Florida,84,"New College of Florida is a public institution that was founded in 1960. It has a total undergraduate enrollment of 702, its setting is suburban, and the campus size is 110 acres. It utilizes a 4-1-4-based academic calendar. New College of Florida's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #84. Its in-state tuition and fees are $6,916; out-of-state tuition and fees are $29,944.","Public, Coed",1960.0,None,4-1-4,Suburban,46400000.0,
58,Transylvania University,84,"Transylvania University is a private institution that was founded in 1780. It has a total undergraduate enrollment of 949, its setting is urban, and the campus size is 46 acres. It utilizes a 4-4-1-based academic calendar. Transylvania University's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #84. Its tuition and fees are $41,610.","Private, Coed",1780.0, Christian Church (Disciples of Christ),4-4-1,Urban,191200000.0,
59,University of Puget Sound,84,"University of Puget Sound is a private institution that was founded in 1888. It has a total undergraduate enrollment of 2,299, its setting is urban, and the campus size is 97 acres. It utilizes a semester-based academic calendar. University of Puget Sound's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #84. Its tuition and fees are $53,800.","Private, Coed",1888.0,None,Semester,Urban,380500000.0,
60,Albright College,171,"Albright College is a private institution that was founded in 1856. It has a Suburban setting, and the campus size is 118 acres. It utilizes a 4-1-4-based academic calendar. Albright College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #171-#221. Its tuition and fees are $25,642.","Private, Coed",1856.0,United Methodist,4-1-4,Suburban,,
61,Allen University,171,"Allen University is a private institution that was founded in 1870.  It utilizes a semester-based academic calendar. Allen University's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #171-#221. Its tuition and fees are $13,340.","Private, Coed",1870.0,None,Semester,City,,
62,Aquinas College,171,"Aquinas College is a private institution that was founded in 1886. It has a total undergraduate enrollment of 1,456, its setting is city, and the campus size is 117 acres. It utilizes a semester-based academic calendar. Aquinas College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #171-#221. Its tuition and fees are $35,086.","Private, Coed",1886.0,Roman Catholic,Semester,City,43000000.0,
63,Ave Maria University,171,"Ave Maria University is a private institution that was founded in 2003. It has a total undergraduate enrollment of 1,129, its setting is suburban, and the campus size is 113 acres. It utilizes a semester-based academic calendar. Ave Maria University's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #171-#221. Its tuition and fees are $23,188.","Private, Coed",2003.0,Roman Catholic,Semester,Suburban,4700000.0,
64,Bennett College,171,"Bennett College is a private institution that was founded in 1873. It has a Urban setting, and the campus size is 60 acres. It utilizes a semester-based academic calendar. Bennett College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #171-#221. Its tuition and fees are $18,513.","Private, Women's college",1873.0,United Methodist,Semester,Urban,,
65,Bethany College (WV),171,"Bethany College (WV) is a private institution that was founded in 1840. It has a total undergraduate enrollment of 516, and the setting is Rural. It utilizes a semester-based academic calendar. Bethany College (WV)'s ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #171-#221. Its tuition and fees are $30,700.","Private, Coed",1840.0, Christian Church (Disciples of Christ),Semester,Rural,44400000.0,
66,Bethany Lutheran College,171,"Bethany Lutheran College is a private institution that was founded in 1927. It has a total undergraduate enrollment of 743, its setting is city, and the campus size is 50 acres. It utilizes a semester-based academic calendar. Bethany Lutheran College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #171-#221. Its tuition and fees are $28,380.","Private, Coed",1927.0,Other,Semester,City,44100000.0,
67,Bethune-Cookman University,171,"Bethune-Cookman University is a private institution that was founded in 1904. It has a total undergraduate enrollment of 2,779, its setting is urban, and the campus size is 82 acres. It utilizes a semester-based academic calendar. Bethune-Cookman University's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #171-#221. Its tuition and fees are $14,814.","Private, Coed",1904.0,United Methodist,Semester,Urban,28900000.0,
68,Blackburn College,171,"Blackburn College is a private institution that was founded in 1837. It has a total undergraduate enrollment of 486, its setting is rural, and the campus size is 80 acres. It utilizes a semester-based academic calendar. Blackburn College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #171-#221. Its tuition and fees are $24,950.","Private, Coed",1837.0,Presbyterian Church (USA),Semester,Rural,26600000.0,
69,Bloomfield College,171,"Bloomfield College is a private institution that was founded in 1868. It has a Suburban setting, and the campus size is 12 acres. It utilizes a semester-based academic calendar. Bloomfield College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #171-#221. Its tuition and fees are $30,310.","Private, Coed",1868.0,Presbyterian Church (USA),Semester,Suburban,,
70,Soka University of America,28,"Soka University of America is a private institution that was founded in 1987. It has a total undergraduate enrollment of 406, its setting is suburban, and the campus size is 103 acres. It utilizes a semester-based academic calendar. Soka University of America's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #28. Its tuition and fees are $33,962.","Private, Coed",1987.0,None,Semester,Suburban,1300000000.0,
71,United States Air Force Academy,28,"United States Air Force Academy is a public institution that was founded in 1954. It has a total undergraduate enrollment of 4,304, its setting is suburban, and the campus size is 18,500 acres. It utilizes a semester-based academic calendar. United States Air Force Academy's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #28. Its in-state tuition and fees are N; out-of-state tuition and fees are N.","Public, Coed",1954.0,None,Semester,Suburban,,
