Index,Name,Ranking,Overview,School Type,Year Founded,Religious Affiliation,Academic Calendar,Setting,2019 Endowment,School Website
77,Pitzer College,#36,"Pitzer College is a private institution that was founded in 1963. It has a total undergraduate enrollment of 1,119, its setting is suburban, and the campus size is 31 acres. It utilizes a semester-based academic calendar. Pitzer College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #36. Its tuition and fees are $55,878.","Private, Coed",1963,None,Semester,Suburban,$144.4 million,
78,Skidmore College,#36,"Skidmore College is a private institution that was founded in 1903. It has a total undergraduate enrollment of 2,662, its setting is suburban, and the campus size is 890 acres. It utilizes a semester-based academic calendar. Skidmore College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #36. Its tuition and fees are $58,128.","Private, Coed",1903,None,Semester,Suburban,$373.9 million,
79,Lafayette College,#40,"Lafayette College is a private institution that was founded in 1826. It has a total undergraduate enrollment of 2,662, its setting is suburban, and the campus size is 340 acres. It utilizes a semester-based academic calendar. Lafayette College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #40. Its tuition and fees are $57,052.","Private, Coed",1826,None,Semester,Suburban,$861.8 million,
80,Wesleyan University,#20,"Wesleyan University is a private institution that was founded in 1831. It has a total undergraduate enrollment of 3,018, its setting is city, and the campus size is 316 acres. It utilizes a semester-based academic calendar. Wesleyan University's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #20. Its tuition and fees are $59,386.","Private, Coed",1831,None,Semester,City,$1.1 billion,
81,Barnard College,#22,"Barnard College is a private institution that was founded in 1889. It has a total undergraduate enrollment of 2,631, its setting is urban, and the campus size is 4 acres. It utilizes a semester-based academic calendar. Barnard College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #22. Its tuition and fees are $57,668.","Private, Women's college",1889,None,Semester,Urban,$363.6 million +,
82,Bates College,#22,"Bates College is a private institution that was founded in 1855. It has a total undergraduate enrollment of 1,820, its setting is city, and the campus size is 133 acres. It utilizes a 4-4-1-based academic calendar. Bates College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #22. Its tuition and fees are $57,353.","Private, Coed",1855,None,4-4-1,City,$329.7 million +,
83,University of Richmond,#22,"University of Richmond is a private institution that was founded in 1830. It has a total undergraduate enrollment of 3,161, its setting is suburban, and the campus size is 350 acres. It utilizes a semester-based academic calendar. University of Richmond's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #22. Its tuition and fees are $56,860.","Private, Coed",1830,None,Semester,Suburban,$2.5 billion +,
84,Colorado College,#25,"Colorado College is a private institution that was founded in 1874. It has a total undergraduate enrollment of 2,099, its setting is city, and the campus size is 100 acres. It utilizes a block plan-based academic calendar. Colorado College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #25. Its tuition and fees are $60,864.","Private, Coed",1874,None,Block Plan,City,$771.9 million +,
85,Harvey Mudd College,#25,"Harvey Mudd College is a private institution that was founded in 1955. It has a total undergraduate enrollment of 895, its setting is suburban, and the campus size is 33 acres. It utilizes a semester-based academic calendar. Harvey Mudd College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #25. Its tuition and fees are $58,660.","Private, Coed",1955,None,Semester,Suburban,$328.6 million,
86,Macalester College,#27,"Macalester College is a private institution that was founded in 1874. It has a total undergraduate enrollment of 2,098, its setting is urban, and the campus size is 53 acres. It utilizes a semester-based academic calendar. Macalester College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #27. Its tuition and fees are $58,478.","Private, Coed",1874,None,Semester,Urban,$749.6 million,
87,Bryn Mawr College,#28,"Bryn Mawr College is a private institution that was founded in 1885. It has a total undergraduate enrollment of 1,384, its setting is suburban, and the campus size is 135 acres. It utilizes a semester-based academic calendar. Bryn Mawr College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #28. Its tuition and fees are $56,610.","Private, Women's college",1885,None,Semester,Suburban,$888.2 million,
88,Kenyon College,#28,"Kenyon College is a private institution that was founded in 1824. It has a total undergraduate enrollment of 1,747, its setting is rural, and the campus size is 1,000 acres. It utilizes a semester-based academic calendar. Kenyon College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #28. Its tuition and fees are $61,100.","Private, Coed",1824,None,Semester,Rural,$422.0 million +,
89,Scripps College,#28,"Scripps College is a private institution that was founded in 1926. It has a total undergraduate enrollment of 1,089, its setting is suburban, and the campus size is 32 acres. It utilizes a semester-based academic calendar. Scripps College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #28. Its tuition and fees are $59,410.","Private, Women's college",1926,None,Semester,Suburban,$375.6 million,
90,College of the Atlantic,#101,"College of the Atlantic is a private institution that was founded in 1969. It has a total undergraduate enrollment of 355, its setting is rural, and the campus size is 37 acres. It utilizes a trimester-based academic calendar. College of the Atlantic's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #101. Its tuition and fees are $43,542.","Private, Coed",1969,None,Trimester,Rural,$61.1 million +,
91,Austin College,#102,"Austin College is a private institution that was founded in 1849. It has a total undergraduate enrollment of 1,294, its setting is city, and the campus size is 70 acres. It utilizes a 4-1-4-based academic calendar. Austin College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #102. Its tuition and fees are $42,590.","Private, Coed",1849,Presbyterian,4-1-4,City,$149.7 million,
92,Hampden-Sydney College,#102,"Hampden-Sydney College is a private institution that was founded in 1775. It has a total undergraduate enrollment of 993, its setting is rural, and the campus size is 1,343 acres. It utilizes a semester-based academic calendar. Hampden-Sydney College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #102. Its tuition and fees are $48,110.","Private, Men's college",1775,Presbyterian,Semester,Rural,$177.8 million +,
93,Hanover College,#102,"Hanover College is a private institution that was founded in 1827. It has a total undergraduate enrollment of 1,070, its setting is rural, and the campus size is 640 acres. It utilizes a 4-4-1-based academic calendar. Hanover College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #102. Its tuition and fees are $39,650.","Private, Coed",1827,Presbyterian Church (USA),4-4-1,Rural,$150.9 million,
94,Hollins University,#102,"Hollins University is a private institution that was founded in 1842. It has a total undergraduate enrollment of 668, its setting is suburban, and the campus size is 475 acres. It utilizes a 4-1-4-based academic calendar. Hollins University's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #102. Its tuition and fees are $40,110.","Private, Women's college",1842,None,4-1-4,Suburban,$182.7 million +,
95,Luther College,#102,"Luther College is a private institution that was founded in 1861. It has a total undergraduate enrollment of 1,951, its setting is rural, and the campus size is 200 acres. It utilizes a 4-1-4-based academic calendar. Luther College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #102. Its tuition and fees are $45,610.","Private, Coed",1861,Evangelical Lutheran Church,4-1-4,Rural,$163.2 million +,
96,Randolph-Macon College,#102,"Randolph-Macon College is a private institution that was founded in 1830. It has a total undergraduate enrollment of 1,543, its setting is suburban, and the campus size is 125 acres. It utilizes a 4-1-4-based academic calendar. Randolph-Macon College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #102. Its tuition and fees are $43,940.","Private, Coed",1830,United Methodist,4-1-4,Suburban,$168.8 million,
97,Saint Anselm College,#102,"Saint Anselm College is a private institution that was founded in 1889. It has a total undergraduate enrollment of 2,043, its setting is suburban, and the campus size is 400 acres. It utilizes a semester-based academic calendar. Saint Anselm College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #102. Its tuition and fees are $43,140.","Private, Coed",1889,Roman Catholic,Semester,Suburban,$164.0 million +,
98,Southwestern University,#102,"Southwestern University is a private institution that was founded in 1840. It has a total undergraduate enrollment of 1,507, its setting is suburban, and the campus size is 700 acres. It utilizes a semester-based academic calendar. Southwestern University's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #102. Its tuition and fees are $45,120.","Private, Coed",1840,United Methodist,Semester,Suburban,$296.4 million +,
99,St. John's University (MN),#102,"St. John's University (MN) is a private institution that was founded in 1857. It has a total undergraduate enrollment of 1,625, its setting is rural, and the campus size is 2,500 acres. It utilizes a semester-based academic calendar. St. John's University (MN)'s ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #102. Its tuition and fees are $48,166.","Private, Coed",1857,Roman Catholic,Semester,Rural,$208.7 million +,
100,Brewton-Parker College,#171-#221,"Brewton-Parker College is a private institution that was founded in 1904. It has a total undergraduate enrollment of 888, its setting is rural, and the campus size is 270 acres. It utilizes a semester-based academic calendar. Brewton-Parker College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #171-#221. Its tuition and fees are $18,900.","Private, Coed",1904, Baptist,Semester,Rural,$7.9 million,
101,Bridgewater College,#171-#221,"Bridgewater College is a private institution that was founded in 1880. It has a total undergraduate enrollment of 1,713, its setting is rural, and the campus size is 300 acres. It utilizes a semester-based academic calendar. Bridgewater College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #171-#221. Its tuition and fees are $37,720.","Private, Coed",1880,Church of Brethren,Semester,Rural,$105.5 million +,
102,Cheyney University of Pennsylvania,#171-#221,"Cheyney University of Pennsylvania is a public institution that was founded in 1837.  It utilizes a semester-based academic calendar. Cheyney University of Pennsylvania's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #171-#221. Its in-state tuition and fees are $10,904; out-of-state tuition and fees are $16,170.","Public, Coed",1837,None,Semester,Suburban,N/A,
103,Chowan University,#171-#221,"Chowan University is a private institution that was founded in 1848. It has a total undergraduate enrollment of 1,259, its setting is rural, and the campus size is 300 acres. It utilizes a semester-based academic calendar. Chowan University's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #171-#221. Its tuition and fees are $25,880.","Private, Coed",1848, Baptist,Semester,Rural,$2.6 million +,
104,Dillard University,#171-#221,"Dillard University is a private institution that was founded in 1869. It has a Urban setting, and the campus size is 55 acres. It utilizes a semester-based academic calendar. Dillard University's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #171-#221. Its tuition and fees are $19,281.","Private, Coed",1869,United Methodist,Semester,Urban,N/A,
105,East-West University,#171-#221,"East-West University is a private institution that was founded in 1980.  It utilizes a quarter-based academic calendar. East-West University's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #171-#221. Its tuition and fees are $22,650.","Private, Coed",1980,None,Quarter,N/A,N/A,
106,Emmanuel College (MA),#171-#221,"Emmanuel College (MA) is a private institution that was founded in 1919. It has a total undergraduate enrollment of 2,112, its setting is urban, and the campus size is 17 acres. It utilizes a semester-based academic calendar. Emmanuel College (MA)'s ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #171-#221. Its tuition and fees are $42,516.","Private, Coed",1919,Roman Catholic,Semester,Urban,$151.7 million +,
107,Fisk University,#171-#221,"Fisk University is a private institution that was founded in 1866. It has a total undergraduate enrollment of 840, its setting is urban, and the campus size is 47 acres. It utilizes a semester-based academic calendar. Fisk University's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #171-#221. Its tuition and fees are $22,132.","Private, Coed",1866,None,Semester,Urban,N/A,
108,Fort Lewis College,#171-#221,"Fort Lewis College is a public institution that was founded in 1911. It has a total undergraduate enrollment of 3,229, its setting is rural, and the campus size is 362 acres. It utilizes a semester-based academic calendar. Fort Lewis College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #171-#221. Its in-state tuition and fees are $8,872; out-of-state tuition and fees are $19,528.","Public, Coed",1911,None,Semester,Rural,$10.3 million,
109,Georgetown College,#171-#221,"Georgetown College is a private institution that was founded in 1829. It has a total undergraduate enrollment of 983, its setting is suburban, and the campus size is 104 acres. It utilizes a semester-based academic calendar. Georgetown College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #171-#221. Its tuition and fees are $40,800.","Private, Coed",1829, Baptist,Semester,Suburban,$40.8 million +,
110,Williams College,#1,"Williams College is a private institution that was founded in 1793. It has a total undergraduate enrollment of 2,078, its setting is rural, and the campus size is 450 acres. It utilizes a 4-1-4-based academic calendar. Williams College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #1. Its tuition and fees are $50,760.","Private, Coed",1793,None,4-1-4,Rural,$2.7 billion +,
111,Amherst College,#2,"Amherst College is a private institution that was founded in 1821. It has a total undergraduate enrollment of 1,839, its setting is rural, and the campus size is 1,000 acres. It utilizes a semester-based academic calendar. Amherst College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #2. Its tuition and fees are $60,890.","Private, Coed",1821,None,Semester,Rural,$2.5 billion,
112,Swarthmore College,#3,"Swarthmore College is a private institution that was founded in 1864. It has a total undergraduate enrollment of 1,594, its setting is suburban, and the campus size is 425 acres. It utilizes a semester-based academic calendar. Swarthmore College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #3. Its tuition and fees are $54,656.","Private, Coed",1864,None,Semester,Suburban,$2.1 billion +,
113,Pomona College,#4,"Pomona College is a private institution that was founded in 1887. It has a total undergraduate enrollment of 1,717, its setting is suburban, and the campus size is 140 acres. It utilizes a semester-based academic calendar. Pomona College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #4. Its tuition and fees are $54,774.","Private, Coed",1887,None,Semester,Suburban,$2.3 billion +,
114,Wellesley College,#4,"Wellesley College is a private institution that was founded in 1870. It has a total undergraduate enrollment of 2,519, its setting is suburban, and the campus size is 500 acres. It utilizes a semester-based academic calendar. Wellesley College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #4. Its tuition and fees are $58,448.","Private, Women's college",1870,None,Semester,Suburban,$2.2 billion,
115,Bowdoin College,#6,"Bowdoin College is a private institution that was founded in 1794. It has a total undergraduate enrollment of 1,835, its setting is suburban, and the campus size is 207 acres. It utilizes a semester-based academic calendar. Bowdoin College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #6. Its tuition and fees are $56,350.","Private, Coed",1794,Other,Semester,Suburban,$1.7 billion +,
116,Claremont McKenna College,#6,"Claremont McKenna College is a private institution that was founded in 1946. It has a total undergraduate enrollment of 1,343, its setting is suburban, and the campus size is 69 acres. It utilizes a semester-based academic calendar. Claremont McKenna College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #6. Its tuition and fees are $56,475.","Private, Coed",1946,None,Semester,Suburban,$865.5 million,
117,United States Naval Academy,#6,"United States Naval Academy is a public institution that was founded in 1845. It has a total undergraduate enrollment of 4,524, its setting is city, and the campus size is 338 acres. It utilizes a semester-based academic calendar. United States Naval Academy's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #6. Its in-state tuition and fees are N; out-of-state tuition and fees are N.","Public, Coed",1845,None,Semester,City,$292.8 million,
118,Carleton College,#9,"Carleton College is a private institution that was founded in 1866. It has a total undergraduate enrollment of 2,119, its setting is rural, and the campus size is 955 acres. It utilizes a trimester-based academic calendar. Carleton College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #9. Its tuition and fees are $59,352.","Private, Coed",1866,None,Trimester,Rural,$892.4 million,
119,Hamilton College,#9,"Hamilton College is a private institution that was founded in 1812. It has a total undergraduate enrollment of 1,924, its setting is rural, and the campus size is 1,300 acres. It utilizes a semester-based academic calendar. Hamilton College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #9. Its tuition and fees are $58,510.","Private, Coed",1812,None,Semester,Rural,$1.0 billion +,
120,Agnes Scott College,#61,"Agnes Scott College is a private institution that was founded in 1889. It has a total undergraduate enrollment of 1,005, its setting is urban, and the campus size is 100 acres. It utilizes a semester-based academic calendar. Agnes Scott College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #61. Its tuition and fees are $44,250.","Private, Women's college",1889,Presbyterian Church (USA),Semester,Urban,$217.1 million +,
121,Wheaton College (IL),#61,"Wheaton College (IL) is a private institution that was founded in 1860. It has a total undergraduate enrollment of 2,395, its setting is suburban, and the campus size is 80 acres. It utilizes a semester-based academic calendar. Wheaton College (IL)'s ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #61. Its tuition and fees are $39,100.","Private, Coed",1860,"Protestant, not specified",Semester,Suburban,$503.4 million,
122,Lawrence University,#63,"Lawrence University is a private institution that was founded in 1847. It has a total undergraduate enrollment of 1,445, its setting is city, and the campus size is 88 acres. It utilizes a trimester-based academic calendar. Lawrence University's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #63. Its tuition and fees are $50,958.","Private, Coed",1847,None,Trimester,City,$357.0 million,
123,Reed College,#63,"Reed College is a private institution.   Reed College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #63. Its tuition and fees are $58,440.",Private,N/A,None,N/A,N/A,N/A,
124,Sarah Lawrence College,#63,"Sarah Lawrence College is a private institution that was founded in 1926. It has a total undergraduate enrollment of 1,433, its setting is suburban, and the campus size is 42 acres. It utilizes a semester-based academic calendar. Sarah Lawrence College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #63. Its tuition and fees are $57,520.","Private, Coed",1926,None,Semester,Suburban,$112.7 million +,
125,St. John's College (MD),#63,"St. John's College (MD) is a private institution that was founded in 1696. It has a total undergraduate enrollment of 494, its setting is city, and the campus size is 36 acres. It utilizes a semester-based academic calendar. St. John's College (MD)'s ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #63. Its tuition and fees are $35,935.","Private, Coed",1696,None,Semester,City,$132.9 million +,
126,Kalamazoo College,#67,"Kalamazoo College is a private institution that was founded in 1833. It has a total undergraduate enrollment of 1,286, its setting is city, and the campus size is 60 acres. It utilizes a quarter-based academic calendar. Kalamazoo College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #67. Its tuition and fees are $52,380.","Private, Coed",1833,None,Quarter,City,$240.3 million +,
127,St. Olaf College,#67,"St. Olaf College is a private institution that was founded in 1874. It has a total undergraduate enrollment of 3,072, its setting is rural, and the campus size is 300 acres. It utilizes a 4-1-4-based academic calendar. St. Olaf College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #67. Its tuition and fees are $51,450.","Private, Coed",1874,Evangelical Lutheran Church,4-1-4,Rural,$540.1 million +,
128,College of Wooster,#69,"College of Wooster is a private institution that was founded in 1866. It has a total undergraduate enrollment of 1,947, its setting is city, and the campus size is 240 acres. It utilizes a semester-based academic calendar. College of Wooster's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #69. Its tuition and fees are $54,000.","Private, Coed",1866,None,Semester,City,$328.9 million +,
129,Virginia Military Institute,#69,"Virginia Military Institute is a public institution that was founded in 1839. It has a total undergraduate enrollment of 1,698, its setting is city, and the campus size is 200 acres. It utilizes a semester-based academic calendar. Virginia Military Institute's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #69. Its in-state tuition and fees are $19,118; out-of-state tuition and fees are $45,962.","Public, Coed",1839,None,Semester,City,$528.8 million,
130,Hampshire College,#171-#221,"Hampshire College is a private institution that was founded in 1965.   Hampshire College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #171-#221. Its tuition and fees are $52,068.",Private,1965,None,N/A,N/A,N/A,
131,Johnson C. Smith University,#171-#221,"Johnson C. Smith University is a private institution that was founded in 1867. It has a total undergraduate enrollment of 1,435, its setting is urban, and the campus size is 105 acres. It utilizes a semester-based academic calendar. Johnson C. Smith University's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #171-#221. Its tuition and fees are $18,784.","Private, Coed",1867,None,Semester,Urban,N/A,
132,Judson College,#171-#221,"Judson College is a private institution that was founded in 1838. It has a total undergraduate enrollment of 250, its setting is rural, and the campus size is 118 acres. It utilizes a semester-based academic calendar. Judson College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #171-#221. Its tuition and fees are $18,540.","Private, Women's college",1838,Southern Baptist,Semester,Rural,N/A,
133,The King's College,#171-#221,"The King's College is a private institution that was founded in 1938. It has a total undergraduate enrollment of 544, and the setting is Urban. It utilizes a semester-based academic calendar. The King's College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #171-#221. Its tuition and fees are $37,690.","Private, Coed",1938,Undenominational,Semester,Urban,N/A,
134,Lane College,#171-#221,"Lane College is a private institution that was founded in 1882. It has a total undergraduate enrollment of 1,267, its setting is city, and the campus size is 55 acres. It utilizes a semester-based academic calendar. Lane College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #171-#221. Its tuition and fees are $11,790.","Private, Coed",1882,Christian Methodist Episcopal,Semester,City,N/A,
135,Louisiana State University--Alexandria,#171-#221,"Louisiana State University—Alexandria is a public institution that was founded in 1960. It has a total undergraduate enrollment of 3,382, its setting is rural, and the campus size is 2,000 acres. It utilizes a semester-based academic calendar. Louisiana State University—Alexandria's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #171-#221. Its in-state tuition and fees are $6,669; out-of-state tuition and fees are $14,024.","Public, Coed",1960,None,Semester,Rural,N/A,
136,Mansfield University of Pennsylvania,#171-#221,"Mansfield University of Pennsylvania is a public institution that was founded in 1857. It has a total undergraduate enrollment of 1,640, its setting is rural, and the campus size is 174 acres. It utilizes a semester-based academic calendar. Mansfield University of Pennsylvania's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #171-#221. Its in-state tuition and fees are $10,846; out-of-state tuition and fees are $13,162.","Public, Coed",1857,None,Semester,Rural,$1.0 million +,
137,Marymount California University,#171-#221,"Marymount California University is a private institution that was founded in 1933. It has a total undergraduate enrollment of 601, its setting is suburban, and the campus size is 23 acres. It utilizes a semester-based academic calendar. Marymount California University's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #171-#221. Its tuition and fees are $36,134.","Private, Coed",1933,Roman Catholic,Semester,Suburban,N/A,
138,Marymount Manhattan College,#171-#221,"Marymount Manhattan College is a private institution that was founded in 1936. It has a total undergraduate enrollment of 1,892, its setting is urban, and the campus size is 2 acres. It utilizes a semester-based academic calendar. Marymount Manhattan College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #171-#221. Its tuition and fees are $37,410.","Private, Coed",1936,None,Semester,Urban,$21.3 million,
139,Pine Manor College,#171-#221,"Pine Manor College is a private institution that was founded in 1911. It has a total undergraduate enrollment of 335, its setting is urban, and the campus size is 45 acres. It utilizes a semester-based academic calendar. Pine Manor College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #171-#221. Its tuition and fees are $31,660.","Private, Coed",1911,None,Semester,Urban,N/A,
140,University of Pikeville,#171-#221,"University of Pikeville is a private institution that was founded in 1889. It has a total undergraduate enrollment of 1,404, its setting is rural, and the campus size is 25 acres. It utilizes a semester-based academic calendar. University of Pikeville's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #171-#221. Its tuition and fees are $22,050.","Private, Coed",1889,Presbyterian Church (USA),Semester,Rural,$23.4 million,
141,University of Puerto Rico--Ponce,#171-#221,"University of Puerto Rico—Ponce is a public institution that was founded in 1970. It has a Urban setting, and the campus size is 86 acres. It utilizes a semester-based academic calendar. University of Puerto Rico—Ponce's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #171-#221. Its in-state tuition and fees are $4,394; out-of-state tuition and fees are $6,536.","Public, Coed",1970,None,Semester,Urban,N/A,
142,University of Science and Arts of Oklahoma,#171-#221,"University of Science and Arts of Oklahoma is a public institution that was founded in 1908. It has a total undergraduate enrollment of 800, its setting is rural, and the campus size is 75 acres. It utilizes a trimester-based academic calendar. University of Science and Arts of Oklahoma's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #171-#221. Its in-state tuition and fees are $8,040; out-of-state tuition and fees are $18,900.","Public, Coed",1908,None,Trimester,Rural,N/A,
143,University of South Carolina--Beaufort,#171-#221,"University of South Carolina—Beaufort is a public institution that was founded in 1959. It has a total undergraduate enrollment of 2,112, its setting is suburban, and the campus size is 213 acres. It utilizes a semester-based academic calendar. University of South Carolina—Beaufort's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #171-#221. Its in-state tuition and fees are $10,730; out-of-state tuition and fees are $21,776.","Public, Coed",1959,None,Semester,Suburban,$8.5 million,
144,University of the West,#171-#221,"University of the West is a private institution that was founded in 1991. It has a Suburban setting, and the campus size is 10 acres. It utilizes a semester-based academic calendar. University of the West's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #171-#221. Its tuition and fees are $12,956.","Private, Coed",1991,None,Semester,Suburban,N/A,
145,University of Wisconsin--Parkside,#171-#221,"University of Wisconsin—Parkside is a public institution that was founded in 1968. It has a total undergraduate enrollment of 3,938, its setting is suburban, and the campus size is 750 acres. It utilizes a semester-based academic calendar. University of Wisconsin—Parkside's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #171-#221. Its in-state tuition and fees are $7,421; out-of-state tuition and fees are $15,691.","Public, Coed",1968,None,Semester,Suburban,$7.6 million +,
146,University of Wisconsin--Superior,#171-#221,"University of Wisconsin—Superior is a public institution that was founded in 1893. It has a total undergraduate enrollment of 2,257, its setting is city, and the campus size is 124 acres. It utilizes a semester-based academic calendar. University of Wisconsin—Superior's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #171-#221. Its in-state tuition and fees are $8,142; out-of-state tuition and fees are $15,712.","Public, Coed",1893,None,Semester,City,$17.7 million,
147,Virginia Union University,#171-#221,"Virginia Union University is a private institution that was founded in 1865. It has a total undergraduate enrollment of 1,132, its setting is urban, and the campus size is 100 acres. It utilizes a semester-based academic calendar. Virginia Union University's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #171-#221. Its tuition and fees are $13,530.","Private, Coed",1865, Baptist,Semester,Urban,$33.4 million +,
148,Virginia Wesleyan University,#171-#221,"Virginia Wesleyan University is a private institution that was founded in 1961. It has a total undergraduate enrollment of 1,387, its setting is suburban, and the campus size is 284 acres. It utilizes a 4-1-4-based academic calendar. Virginia Wesleyan University's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #171-#221. Its tuition and fees are $36,910.","Private, Coed",1961,United Methodist,4-1-4,Suburban,$60.0 million,
149,Williams Baptist University,#171-#221,"Williams Baptist University is a private institution that was founded in 1941. It has a total undergraduate enrollment of 526, its setting is rural, and the campus size is 250 acres. It utilizes a semester-based academic calendar. Williams Baptist University's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #171-#221. Its tuition and fees are $18,500.","Private, Coed",1941,Southern Baptist,Semester,Rural,$15.6 million,
150,Covenant College,#140,"Covenant College is a private institution that was founded in 1955. It has a total undergraduate enrollment of 946, its setting is suburban, and the campus size is 400 acres. It utilizes a semester-based academic calendar. Covenant College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #140. Its tuition and fees are $36,710.","Private, Coed",1955,The Presbyterian Church in America,Semester,Suburban,$42.7 million,
151,Illinois College,#140,"Illinois College is a private institution that was founded in 1829. It has a total undergraduate enrollment of 1,057, its setting is rural, and the campus size is 65 acres. It utilizes a semester-based academic calendar. Illinois College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #140. Its tuition and fees are $34,620.","Private, Coed",1829,None,Semester,Rural,$129.9 million +,
152,Moravian College,#140,"Moravian College is a private institution that was founded in 1742. It has a total undergraduate enrollment of 2,073, its setting is city, and the campus size is 85 acres. It utilizes a semester-based academic calendar. Moravian College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #140. Its tuition and fees are $47,367.","Private, Coed",1742,Moravian Church,Semester,City,$117.9 million,
153,Randolph College,#140,"Randolph College is a private institution that was founded in 1891. It has a total undergraduate enrollment of 565, its setting is suburban, and the campus size is 100 acres. It utilizes a semester-based academic calendar. Randolph College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #140. Its tuition and fees are $25,610.","Private, Coed",1891,None,Semester,Suburban,$156.3 million,
