Index,Name,Ranking,Overview,School Type,Year Founded,Religious Affiliation,Academic Calendar,Setting,2019 Endowment,School Website,Info Page
10,Middlebury College,9,"Middlebury College is a private institution that was founded in 1800. It has a total undergraduate enrollment of 2,580, its setting is rural, and the campus size is 350 acres. It utilizes a 4-1-4-based academic calendar. Middlebury College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #9. Its tuition and fees are $58,316.","Private, Coed",1800.0,None,4-1-4,Rural,1200000000.0,http://www.middlebury.edu,https://www.usnews.com/best-colleges/middlebury-college-3691
11,Washington and Lee University,9,"Washington and Lee University is a private institution that was founded in 1749. It has a total undergraduate enrollment of 1,860, its setting is city, and the campus size is 430 acres. It utilizes a 4-4-1-based academic calendar. Washington and Lee University's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #9. Its tuition and fees are $57,285.","Private, Coed",1749.0,None,4-4-1,City,1700000000.0,http://www.wlu.edu,https://www.usnews.com/best-colleges/washington-and-lee-3768
12,Grinnell College,13,"Grinnell College is a private institution that was founded in 1846. It has a total undergraduate enrollment of 1,733, its setting is rural, and the campus size is 120 acres. It utilizes a semester-based academic calendar. Grinnell College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #13. Its tuition and fees are $56,680.","Private, Coed",1846.0,None,Semester,Rural,2100000000.0,//www.grinnell.edu,https://www.usnews.com/best-colleges/grinnell-college-1868
13,Vassar College,13,"Vassar College is a private institution that was founded in 1861. It has a total undergraduate enrollment of 2,441, its setting is suburban, and the campus size is 1,000 acres. It utilizes a semester-based academic calendar. Vassar College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #13. Its tuition and fees are $60,930.","Private, Coed",1861.0,None,Semester,Suburban,1100000000.0,http://www.vassar.edu,https://www.usnews.com/best-colleges/vassar-college-2895
14,Colby College,15,"Colby College is a private institution that was founded in 1813. It has a total undergraduate enrollment of 2,003, its setting is rural, and the campus size is 714 acres. It utilizes a 4-1-4-based academic calendar. Colby College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #15. Its tuition and fees are $59,430.","Private, Coed",1813.0,None,4-1-4,Rural,869900000.0,http://www.colby.edu,https://www.usnews.com/best-colleges/colby-college-2039
15,Davidson College,15,"Davidson College is a private institution that was founded in 1837. It has a total undergraduate enrollment of 1,837, its setting is suburban, and the campus size is 665 acres. It utilizes a semester-based academic calendar. Davidson College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #15. Its tuition and fees are $55,060.","Private, Coed",1837.0,Presbyterian Church (USA),Semester,Suburban,881500000.0,//davidson.edu,https://www.usnews.com/best-colleges/davidson-college-2918
16,Haverford College,15,"Haverford College is a private institution that was founded in 1833. It has a total undergraduate enrollment of 1,317, its setting is suburban, and the campus size is 200 acres. It utilizes a semester-based academic calendar. Haverford College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #15. Its tuition and fees are $58,900.","Private, Coed",1833.0,None,Semester,Suburban,526900000.0,http://www.haverford.edu,https://www.usnews.com/best-colleges/haverford-college-3274
17,Smith College,15,"Smith College is a private institution that was founded in 1871. It has a total undergraduate enrollment of 2,531, its setting is suburban, and the campus size is 147 acres. It utilizes a semester-based academic calendar. Smith College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #15. Its tuition and fees are $56,114.","Private, Women's college",1871.0,None,Semester,Suburban,1900000000.0,https://www.smith.edu,https://www.usnews.com/best-colleges/smith-college-2209
18,United States Military Academy,15,"United States Military Academy is a public institution that was founded in 1802. It has a total undergraduate enrollment of 4,457, its setting is suburban, and the campus size is 16,080 acres. It utilizes a semester-based academic calendar. United States Military Academy's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #15. Its in-state tuition and fees are N; out-of-state tuition and fees are N.","Public, Coed",1802.0,None,Semester,Suburban,28500000.0,https://westpoint.edu,https://www.usnews.com/best-colleges/west-point-2893
19,Colgate University,20,"Colgate University is a private institution that was founded in 1819. It has a total undergraduate enrollment of 2,980, its setting is rural, and the campus size is 553 acres. It utilizes a semester-based academic calendar. Colgate University's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #20. Its tuition and fees are $60,015.","Private, Coed",1819.0,None,Semester,Rural,934400000.0,http://www.colgate.edu,https://www.usnews.com/best-colleges/colgate-university-2701
20,Wesleyan University,20,"Wesleyan University is a private institution that was founded in 1831. It has a total undergraduate enrollment of 3,018, its setting is city, and the campus size is 316 acres. It utilizes a semester-based academic calendar. Wesleyan University's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #20. Its tuition and fees are $59,386.","Private, Coed",1831.0,None,Semester,City,1100000000.0,http://www.wesleyan.edu,https://www.usnews.com/best-colleges/wesleyan-university-1424
21,Barnard College,22,"Barnard College is a private institution that was founded in 1889. It has a total undergraduate enrollment of 2,631, its setting is urban, and the campus size is 4 acres. It utilizes a semester-based academic calendar. Barnard College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #22. Its tuition and fees are $57,668.","Private, Women's college",1889.0,None,Semester,Urban,363600000.0,http://www.barnard.edu,https://www.usnews.com/best-colleges/barnard-college-2708
22,Bates College,22,"Bates College is a private institution that was founded in 1855. It has a total undergraduate enrollment of 1,820, its setting is city, and the campus size is 133 acres. It utilizes a 4-4-1-based academic calendar. Bates College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #22. Its tuition and fees are $57,353.","Private, Coed",1855.0,None,4-4-1,City,329700000.0,http://www.bates.edu,https://www.usnews.com/best-colleges/bates-college-2036
23,University of Richmond,22,"University of Richmond is a private institution that was founded in 1830. It has a total undergraduate enrollment of 3,161, its setting is suburban, and the campus size is 350 acres. It utilizes a semester-based academic calendar. University of Richmond's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #22. Its tuition and fees are $56,860.","Private, Coed",1830.0,None,Semester,Suburban,2500000000.0,http://www.richmond.edu,https://www.usnews.com/best-colleges/university-of-richmond-3744
